,count,mean,std,min,25%,50%,75%,max
debt_to_asset,16007.0,0.01570574800029226,0.014606417421287122,0.0,0.0027343151052752,0.0110867917519356,0.0268620712981377,0.0407449928226815
equity_issuance,16007.0,0.7172345090319855,0.5456887307428869,0.0,0.0261298441369187,0.8365071670259634,1.2953087690118568,1.349585440307295
ROA,16007.0,0.036618922824890016,0.0757034327637952,-0.0912020603378708,-0.00754466826639685,0.0438423660138189,0.08552008319153706,0.1788867923655088
sale_lag,16007.0,6997.75980333604,24670.8403300453,0.01,304.6385,1223.3,4403.95,556933.0
sales_growth,16007.0,0.08125393009285027,0.1626423273960356,-0.2185439511752269,-0.01598345142408015,0.0700005113258679,0.18360620553773874,0.3585449738269629
lag_Tobins_Q,16007.0,25.37674727766109,398.91039975611113,-141.84624732824426,1.3506846542499464,4.244390022972861,12.766396156130046,42206.56799999999
lag_invest_cap_sum,16007.0,0.22315160557532832,5.391962177668712,0.0,0.0633592214245074,0.1111341140124354,0.19782157093479247,681.236116856954
lag_invest_cap,16007.0,0.22394415750982122,0.17641385132241683,0.0,0.1116404500806133,0.180311075200554,0.28696553438054073,5.5989090189649815
lag_cash_flow,16007.0,-0.015736389124950016,15.477936021216047,-557.5636363636364,0.107140531632515,0.3826001196084397,0.9131477679380574,1297.6169014084508
lag_debt_to_asset,16007.0,0.024484338545616876,0.059007014611271516,-2.7717428424521025,0.0020739216096496496,0.0101542981516734,0.02513027243273695,0.9999379830975752
lag_equity_issuance,16003.0,66.31438705242768,282.5647129389023,-82.0,0.0715,4.289,28.855,10028.0
lag_ROA,16007.0,-0.0026180213458183517,0.26740461391479636,-16.104471260524637,-0.00713712669472425,0.0438183436271123,0.08471662066770815,1.1737388266721462
lag_sales_growth,15892.0,0.8992416012821988,43.7848774388689,-0.9990533605699766,-0.018284033361211826,0.06728368625134401,0.17836054373061572,4992.085714285714
